a-mobiliteitsfonds-2027	03-fondsen	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/a-mobiliteitsfonds-2027/a-mobiliteitsfonds.pdf	/workspace/Prinsjesdag-2026-begroting-2027/03-fondsen/a-mobiliteitsfonds-2027__a-mobiliteitsfonds.pdf
aanbiedingsbrief-belastingplan-2027	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/aanbiedingsbrief-belastingplan-2027/aanbiedingsbrief-aanbiedingsbrief-pakket-belastingplan-2027.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/aanbiedingsbrief-belastingplan-2027__aanbiedingsbrief-aanbiedingsbrief-pakket-belastingplan-2027.pdf
advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-aanvullende-maatregelen	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-aanvullende-maatregelen/wetsvoorstel-belastingplan-2027-atr-advies-aanvullende-maatregelen.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-aanvullende-maatregelen__wetsvoorstel-belastingplan-2027-atr-advies-aanvullende-maatregelen.pdf
advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-afschaffen-en-versoberen-zelfstandigenaftrek	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-afschaffen-en-versoberen-zelfstandigenaftrek/wetsvoorstel-belastingplan-2027-atr-advies-afschaffen-en-versoberen-zelfstandigenaftrek.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-afschaffen-en-versoberen-zelfstandigenaftrek__wetsvoorstel-belastingplan-2027-atr-advies-afschaffen-en-versoberen-zelfstandigenaftrek.pdf
advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-fiscale-behandeling-ingeprijsd-valutaresultaat	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-fiscale-behandeling-ingeprijsd-valutaresultaat/wetsvoorstel-belastingplan-2027-atr-advies-fiscale-behandeling-ingeprijsd-valutaresultaat.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-fiscale-behandeling-ingeprijsd-valutaresultaat__wetsvoorstel-belastingplan-2027-atr-advies-fiscale-behandeling-ingeprijsd-valutaresultaat.pdf
advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-schrappen-aftrek-specifieke-zorgkosten	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-schrappen-aftrek-specifieke-zorgkosten/wetsvoorstel-belastingplan-2027-atr-advies-schrappen-aftrek-specifieke-zorgkosten.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-schrappen-aftrek-specifieke-zorgkosten__wetsvoorstel-belastingplan-2027-atr-advies-schrappen-aftrek-specifieke-zorgkosten.pdf
advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-vrijstelling-branche-eigen-producten	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-vrijstelling-branche-eigen-producten/wetsvoorstel-belastingplan-2027-atr-advies-vrijstelling-branche-eigen-producten.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-belastingplan-2027-vrijstelling-branche-eigen-producten__wetsvoorstel-belastingplan-2027-atr-advies-vrijstelling-branche-eigen-producten.pdf
advies-adviescollege-toetsing-regeldruk-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups/wetsvoorstel-wet-fiscale-stimulering-start-ups-en-scale-ups-advies-atr.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups__wetsvoorstel-wet-fiscale-stimulering-start-ups-en-scale-ups-advies-atr.pdf
advies-adviescollege-toetsing-regeldruk-wetsvoorstel-overige-fiscale-maatregelen-2027	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-overige-fiscale-maatregelen-2027/wetsvoorstel-overige-fiscale-maatregelen-2027-advies-atr-pseudo-eindheffing-fossiele-brandstoffen.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-adviescollege-toetsing-regeldruk-wetsvoorstel-overige-fiscale-maatregelen-2027__wetsvoorstel-overige-fiscale-maatregelen-2027-advies-atr-pseudo-eindheffing-fossiele-brandstoffen.pdf
advies-autoriteit-persoonsgegevens-wetsvoorstel-belastingplan-2027	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-autoriteit-persoonsgegevens-wetsvoorstel-belastingplan-2027/wetsvoorstel-belastingplan-2027-advies-autoriteit-persoonsgegevens.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-autoriteit-persoonsgegevens-wetsvoorstel-belastingplan-2027__wetsvoorstel-belastingplan-2027-advies-autoriteit-persoonsgegevens.pdf
